,region,farm_size_ha,barley_variety,variety_maturity,soil_type,soil_ph,organic_matter_percent,nitrogen_content_percent,phosphorus_content_ppm,potassium_content_ppm,growing_season_temp_c,rainfall_mm,sunshine_hours_day,yield_tons_ha
0,Gharb-Chrarda-Beni Hssen,8.03,Amira,Late,Vertisol,6.9,2.11,0.1,33.95,85.08,18.71,,8.28,4.65
2,Meknès-Tafilalet,0.87,Khnata,Early,Clay,7.6,1.41,0.17,15.49,143.69,,478.12,6.52,2.73
3,Marrakech-Tensift-Al Haouz,,Amira,Late,Sandy,8.4,1.89,0.08,20.02,130.29,21.5,236.13,8.25,4.32
4,Doukkala-Abda,14.5,Amira,Late,Vertisol,7.1,1.25,0.12,,120.98,18.84,318.58,6.77,3.41
5,Doukkala-Abda,14.97,Chifaa,Medium,Vertisol,7.5,1.52,0.17,21.36,104.41,17.54,466.94,6.71,4.69
6,Chaouia-Ouardigha,19.5,Massine,Late,Sandy,6.8,1.2,,17.42,190.82,21.32,420.63,8.43,5.81
7,Souss-Massa-Drâa,8.24,Khnata,Early,Sandy,8.3,1.64,0.12,20.42,213.76,24.75,200.8,7.08,1.58
8,Marrakech-Tensift-Al Haouz,9.31,Amira,Late,Clay,8.2,1.41,,8.72,137.91,20.79,237.98,8.12,4.55
9,Meknès-Tafilalet,11.59,Khnata,Early,Sandy,7.7,1.12,0.18,8.19,,17.11,352.12,7.72,2.15
10,Chaouia-Ouardigha,25.32,Assiya,Medium,Vertisol,7.2,2.03,0.24,15.79,195.33,18.7,290.43,5.32,3.07
11,Tanger-Tétouan,10.91,Khnata,Early,Loam,7.7,1.87,0.19,10.24,147.35,19.01,282.22,7.25,1.16
12,Souss-Massa-Drâa,14.36,Assiya,Medium,Sandy,8.6,1.26,0.15,19.29,174.36,21.26,,7.6,1.68
13,Doukkala-Abda,5.46,Assiya,Medium,Sandy,7.4,1.7,0.24,19.28,140.9,18.07,271.48,6.65,2.6
14,Doukkala-Abda,9.89,Amira,Late,Sandy,7.6,1.71,0.21,,158.22,19.72,404.41,6.63,2.71
15,Doukkala-Abda,5.19,Assiya,Medium,Vertisol,7.0,1.76,0.11,18.95,88.13,20.73,302.15,7.43,5.5
16,Fès-Boulemane,9.89,Amira,Late,Loam,7.1,0.82,0.1,17.32,177.48,18.76,358.56,8.19,4.71
17,Gharb-Chrarda-Beni Hssen,13.52,Assiya,Medium,Clay,7.2,2.7,0.19,17.32,87.4,22.89,495.68,7.96,5.86
18,Gharb-Chrarda-Beni Hssen,4.03,Khnata,Early,Vertisol,7.5,1.92,0.18,15.46,194.39,20.24,410.16,8.18,4.0
19,Fès-Boulemane,13.94,Chifaa,Medium,Clay,7.4,1.36,0.21,8.87,195.49,,,7.85,2.21
20,Marrakech-Tensift-Al Haouz,,Khnata,Early,Loam,7.9,2.56,0.21,24.22,113.19,22.76,193.0,9.38,2.64
21,Chaouia-Ouardigha,28.36,Assiya,Medium,Vertisol,7.1,1.62,0.19,10.42,125.31,18.25,306.54,7.73,2.6
22,Fès-Boulemane,5.6,Amira,Late,Sandy,7.2,1.35,,20.04,147.38,24.76,,8.02,2.63
23,Gharb-Chrarda-Beni Hssen,1.97,Assiya,Medium,Vertisol,7.3,1.1,0.17,16.36,163.53,19.07,451.51,7.02,4.36
24,Gharb-Chrarda-Beni Hssen,7.55,Khnata,Early,Clay,6.8,2.89,0.1,17.16,120.23,20.2,436.34,7.04,3.65
25,Rabat-Salé-Zemmour-Zaër,4.22,Assiya,Medium,Loam,8.1,1.53,0.22,16.65,162.95,22.42,462.6,8.88,2.93
27,Gharb-Chrarda-Beni Hssen,4.96,Amira,Late,Loam,7.4,,0.21,34.03,87.77,22.47,521.12,8.23,1.11
28,Marrakech-Tensift-Al Haouz,,Amira,Late,Clay,,2.07,0.24,24.06,80.35,22.08,222.77,9.0,2.09
29,Chaouia-Ouardigha,18.48,Amira,Late,Vertisol,7.4,1.81,0.2,21.25,94.16,20.53,314.63,8.83,1.54
30,Marrakech-Tensift-Al Haouz,5.01,Khnata,Early,Sandy,8.3,1.44,0.18,18.24,190.92,20.71,240.93,8.58,4.93
31,Doukkala-Abda,20.26,Assiya,Medium,Vertisol,7.7,1.62,0.16,24.1,214.6,21.17,453.11,7.05,1.56
32,Chaouia-Ouardigha,22.9,Chifaa,Medium,Vertisol,6.9,1.26,0.14,14.06,139.78,17.68,304.11,8.75,4.62
33,Tadla-Azilal,4.45,Khnata,Early,Clay,7.6,1.56,0.14,24.1,151.78,16.77,334.72,7.74,2.93
34,Tanger-Tétouan,6.5,Khnata,Early,Loam,6.9,,0.19,18.25,100.56,18.0,349.5,5.82,1.37
35,Souss-Massa-Drâa,2.27,Khnata,Early,Sandy,7.9,1.89,0.21,17.84,157.14,,252.27,8.97,5.06
36,Fès-Boulemane,3.13,Assiya,Medium,Clay,8.0,1.89,0.2,11.94,100.25,18.96,264.22,,3.9
37,Chaouia-Ouardigha,,Massine,Late,Sandy,7.4,1.7,0.11,8.79,165.57,17.44,340.36,7.3,2.18
38,Meknès-Tafilalet,3.13,Khnata,Early,Clay,7.5,1.36,0.16,24.07,210.66,19.7,386.31,8.26,5.47
39,Gharb-Chrarda-Beni Hssen,8.11,Assiya,Medium,Vertisol,6.9,2.57,0.21,21.27,107.4,19.5,470.6,6.12,1.23
40,Chaouia-Ouardigha,22.73,Khnata,Early,Vertisol,7.4,1.46,0.16,15.52,187.04,20.95,299.94,5.11,2.01
41,Gharb-Chrarda-Beni Hssen,2.05,Massine,Late,Vertisol,7.2,1.66,0.17,17.29,83.29,18.76,409.83,7.62,4.76
42,Chaouia-Ouardigha,19.18,Khnata,Early,Vertisol,6.5,1.34,0.21,22.23,132.57,19.93,340.45,7.29,4.55
43,Tadla-Azilal,4.22,Assiya,Medium,Clay,7.9,1.53,0.19,8.47,95.5,18.71,285.18,6.86,2.45
44,Doukkala-Abda,29.07,Amira,Late,Vertisol,7.5,1.86,0.15,,129.35,20.68,303.76,8.07,1.31
45,Meknès-Tafilalet,7.51,Amira,Late,Loam,8.1,1.43,0.23,10.38,104.3,21.04,441.81,7.19,5.29
46,Fès-Boulemane,12.19,Assiya,Medium,Clay,7.0,1.02,0.11,23.07,132.26,16.72,374.13,5.47,2.57
47,Gharb-Chrarda-Beni Hssen,8.48,Assiya,Medium,Vertisol,6.2,2.23,0.25,29.6,138.45,20.45,417.89,7.53,1.98
48,Marrakech-Tensift-Al Haouz,1.13,Assiya,Medium,Clay,8.1,1.55,0.1,10.8,122.08,21.95,237.91,8.09,3.58
49,Doukkala-Abda,20.83,Khnata,Early,Sandy,7.6,,0.08,26.32,,21.51,386.6,7.68,5.55
50,Tanger-Tétouan,14.3,Khnata,Early,Sandy,6.7,,,13.32,208.64,19.58,280.79,7.16,1.22
51,Rabat-Salé-Zemmour-Zaër,9.22,Assiya,Medium,Loam,7.0,2.71,0.12,11.03,136.08,19.33,420.49,4.18,4.83
52,Tadla-Azilal,12.38,Khnata,Early,Clay,8.9,1.26,0.2,22.61,106.93,19.85,333.88,8.06,3.86
53,Souss-Massa-Drâa,13.32,Khnata,Early,Loam,7.9,1.25,0.22,,117.9,22.52,247.73,6.76,3.13
54,Marrakech-Tensift-Al Haouz,3.81,Amira,Late,Sandy,8.3,1.08,0.23,14.78,199.56,,242.51,7.53,4.72
55,Tadla-Azilal,3.57,Massine,Late,Clay,7.2,,0.25,10.89,160.03,22.3,351.09,7.87,5.83
