region,farm_size_ha,barley_variety,variety_maturity,soil_type,soil_ph,organic_matter_percent,nitrogen_content_percent,phosphorus_content_ppm,potassium_content_ppm,growing_season_temp_c,rainfall_mm,sunshine_hours_day,yield_tons_ha
Gharb-Chrarda-Beni Hssen,8.03,Amira,Late,Vertisol,6.9,2.11,0.1,33.95,85.08,18.71,,8.28,4.65
Tadla-Azilal,7.45,Chifaa,Medium,Clay,7.7,0.8,0.12,13.82,217.76,21.4,,9.39,
Meknès-Tafilalet,0.87,Khnata,Early,Clay,7.6,1.41,0.17,15.49,143.69,,478.12,6.52,2.73
Marrakech-Tensift-Al Haouz,,Amira,Late,Sandy,8.4,1.89,0.08,20.02,130.29,21.5,236.13,8.25,4.32
Doukkala-Abda,14.5,Amira,Late,Vertisol,7.1,1.25,0.12,,120.98,18.84,318.58,6.77,3.41
Doukkala-Abda,14.97,Chifaa,Medium,Vertisol,7.5,1.52,0.17,21.36,104.41,17.54,466.94,6.71,4.69
Chaouia-Ouardigha,19.5,Massine,Late,Sandy,6.8,1.2,,17.42,190.82,21.32,420.63,8.43,5.81
Souss-Massa-Drâa,8.24,Khnata,Early,Sandy,8.3,1.64,0.12,20.42,213.76,24.75,200.8,7.08,1.58
Marrakech-Tensift-Al Haouz,9.31,Amira,Late,Clay,8.2,1.41,,8.72,137.91,20.79,237.98,8.12,4.55
Meknès-Tafilalet,11.59,Khnata,Early,Sandy,7.7,1.12,0.18,8.19,,17.11,352.12,7.72,2.15
Chaouia-Ouardigha,25.32,Assiya,Medium,Vertisol,7.2,2.03,0.24,15.79,195.33,18.7,290.43,5.32,3.07
Tanger-Tétouan,10.91,Khnata,Early,Loam,7.7,1.87,0.19,10.24,147.35,19.01,282.22,7.25,1.16
Souss-Massa-Drâa,14.36,Assiya,Medium,Sandy,8.6,1.26,0.15,19.29,174.36,21.26,,7.6,1.68
Doukkala-Abda,5.46,Assiya,Medium,Sandy,7.4,1.7,0.24,19.28,140.9,18.07,271.48,6.65,2.6
Doukkala-Abda,9.89,Amira,Late,Sandy,7.6,1.71,0.21,,158.22,19.72,404.41,6.63,2.71
Doukkala-Abda,5.19,Assiya,Medium,Vertisol,7.0,1.76,0.11,18.95,88.13,20.73,302.15,7.43,5.5
Fès-Boulemane,9.89,Amira,Late,Loam,7.1,0.82,0.1,17.32,177.48,18.76,358.56,8.19,4.71
